,cnpj
0,22572085000204
1,17983315000107
2,22572624000116
3,8419590000101
4,22573688000131
5,17983974000135
6,8422925000132
7,8423386000156
8,17984125000104
9,8426215000180
10,17984371000158
11,47614810000100
12,17985072000138
13,22581295000170
14,47615239000130
15,8432926000168
16,8434713000175
17,8434760000119
18,8435172000108
19,8438231000193
20,8438845000175
21,47616296000133
22,22588174000150
23,17987494000142
24,22589398000186
25,47616677000112
26,47616773000160
27,39229840000166
28,17761000156
29,8442960000202
30,17988863000111
31,44537000153
32,8444507000146
33,8444507000227
34,17989635000166
35,56055000385
36,56055000466
37,22576410000118
38,8446596000160
39,22577484000179
40,22577537000151
41,17990344000198
42,22578921000179
43,17990508000187
44,8449931000183
45,17991137000158
46,22582353000180
47,8450862000128
48,8450935000181
49,8450942000183
50,22584662000199
51,22584673000179
52,22585433000199
53,22586239000128
54,61349000133
55,8454559000101
56,22588236000123
57,8454611000111
58,17992445000106
59,8456893000277
60,22590864000143
61,17992658000120
62,22591952000160
63,63182000140
64,17992911000145
65,8459186000234
66,22593939000140
67,22594359000177
68,22594586000100
69,8460582000109
70,22595055000124
71,22598400000183
72,22598822000159
73,22598856000143
74,17993941000176
75,47619519000116
76,47619615000164
77,6696596000192
78,47620381000175
79,6698885000120
80,22600195000143
81,22600470000129
82,8465031000120
83,8466038000166
84,69692000124
85,8466848000112
86,17995852000169
87,8468123000163
88,8468349000164
89,8468374000148
90,8470278000134
91,8470346000246
92,79267000116
93,17996790000100
94,8471584000195
95,8474903000116
96,84914000188
97,47622062000107
98,17998075000106
99,47622566000119
100,17998985000199
101,47622926000182
102,8482651000177
103,22602379000142
104,22602904000120
105,22603590000180
106,8484341000191
107,8484407000143
108,22604729000100
109,22604746000147
110,18000249000162
111,22605315000103
112,22606409000199
113,8488139000219
114,22608245000139
115,12421813000134
116,8490460000157
117,8490510000104
118,8490659000185
119,18001591000187
120,47623881000160
121,22609436000115
122,22609841000133
123,38185204000117
124,22610561000145
125,8493372000109
126,8493586000185
127,47624528000103
128,22613995000107
129,47624621000100
130,22616139000105
131,8496690000123
132,47624971000176
133,22617983000142
134,18004623000106
135,22618888000163
136,22619009000118
137,18004912000105
138,18004937000109
139,18004961000130
140,22620443000118
141,47625433000104
142,22620913000143
143,47625492000174
144,22622624000183
145,22622908000170
146,22623956000182
147,18005753000155
148,22624714000103
149,22625177000116
150,22625661000145
151,22625943000142
152,47625994000103
153,18006740000109
154,22557916000180
155,22565158000141
156,17981287000180
157,22566000000196
158,82121815000193
159,8508848000138
160,8509691000165
161,22639128000132
